,run_dir,train_data,val_data,test_data,recycle,recycle_delay,recycle_flip,epochs,lr,lr_schedule,lr_schedule_step_size,lr_schedule_gamma,lr_schedule_eta_min,lr_warmup_epochs,optimizer,swa,swa_start_epoch,swa_lr,freeze_batch_norm,mb_size,device,tensorboard_dir,checkpoints_dir,best_checkpoints_only,augment,model,pretrained,pretrained_weights,pretrained_conv_weights,classes,tasks,weighted_loss,label_smoothing,data,mnist_rows,mnist_cols,ddsm_views,adni_views,chexpert_views,view_dropout,dropout,attention_heads,attention_downsampling,attention_combine,attention_bidirectional,attention_l1_loss,attention_entmax_alpha,attention_softmax_scale,attention_tokens,attention_token_layers,attention_tokenize_a,attention_implementation,normalize,num_workers,autocast,git_commit,optimize_tag,direction,best_epoch,roc_auc/val,roc_auc/test
0,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold0-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold0-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold0-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.743980884552002,0.8259615302085876
1,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold1-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold1-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold1-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.828653872013092,0.7988436818122864
2,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold2-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold2-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold2-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.831638753414154,0.7357948422431946
3,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold3-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold3-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold3-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.7667692303657532,0.8177083134651184
4,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold4-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold4-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run1-fold4-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.8541666865348816,0.729763388633728
5,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold0-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold0-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold0-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.7461602091789246,0.8607692122459412
6,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold1-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold1-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold1-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.8271153569221497,0.7946571111679077
7,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold2-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold2-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold2-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.8294457793235779,0.7522051334381104
8,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold3-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold3-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold3-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.7512820363044739,0.8345352411270142
9,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold4-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold4-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run2-fold4-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.821213960647583,0.7444998025894165
10,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold0-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold0-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold0-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.7489622235298157,0.8548076748847961
11,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold1-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold1-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold1-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.8180769085884094,0.7697368264198303
12,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold2-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold2-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold2-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.8379186391830444,0.7517948746681213
13,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold3-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold3-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold3-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.7897436022758484,0.8035857081413269
14,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold4-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold4-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-LateJoinResNet18ShallowTop-data-ddsm-view-ccmlo-run3-fold4-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",LateJoinResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,"['cc', 'mlo']","['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.8285256624221802,0.7517642378807068
15,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-SingleViewResNet18ShallowTop-data-ddsm-view-cc-run1-fold0-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-SingleViewResNet18ShallowTop-data-ddsm-view-cc-run1-fold0-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-SingleViewResNet18ShallowTop-data-ddsm-view-cc-run1-fold0-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",SingleViewResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,['cc'],"['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.738895833492279,0.8505769371986389
16,log-from-cluster/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-SingleViewResNet18ShallowTop-data-ddsm-view-cc-run1-fold1-augcoflip-weight-cosine0.0001-warmup30-swa,"['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset2.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset3.h5', 'data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset4.h5']",['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset0.h5'],['data/20210219-ddsm-csv-rescale0.5-nyucrop-ds0.125-mass-CC+MLO-subset1.h5'],,5,False,300,0.0001,CosineAnnealingLR,,,1e-06,30,Adam,True,250,1e-06,False,24,cuda,logs/log-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-SingleViewResNet18ShallowTop-data-ddsm-view-cc-run1-fold1-augcoflip-weight-cosine0.0001-warmup30-swa,checkpoints/checkpoints-ddsm-20210218-5cv-ds0.125/20210218-ds0.125-model-SingleViewResNet18ShallowTop-data-ddsm-view-cc-run1-fold1-augcoflip-weight-cosine0.0001-warmup30-swa,True,"['coflip', 'elastic', 'crop20']",SingleViewResNet18ShallowTop,,,,2,1,True,False,DDSMDataset,,,['cc'],"['mri', 'pet']","['frontal', 'lateral']",,,,,,,,,,,,,samplewise-directsum,True,4,True,65fc70f,roc_auc/val,last,300,0.7890384793281555,0.715510368347168
